0.057365,0.081452,B
7.000000,0.200740,B
0.460790,0.533340,B
0.080790,0.064853,B
0.064494,0.086393,B
316.000000,0.165500,B
3.000000,0.482360,B
0.052153,0.084148,B
768.000000,1.907300,B
16.000000,0.056386,B
0.077950,0.073995,B
0.177190,0.213600,B
4.000000,0.364750,B
0.060864,0.081986,B
0.410200,1.937900,B
0.090250,0.050288,B
0.048164,0.059471,B
15512.000000,0.163880,B
18.000000,0.486160,B
66905.000000,0.079610,B
29.000000,1.976200,B
0.071547,0.119460,B
4.000000,0.186010,B
4.000000,0.085276,B
9293.000000,1.858000,B
0.050456,0.084058,B
0.096621,0.108850,B
16206.000000,0.150530,B
3758.000000,0.509570,B
1.000000,0.088841,B
1.977000,1.805300,B
0.145100,0.123050,B
71.000000,0.168320,B
1866.000000,0.084436,B
1.919300,1.887900,B
2415.000000,0.048541,B
0.136270,0.140550,B
0.179340,0.136270,B
271.000000,0.503900,B
81568.000000,0.076332,B
887.000000,0.079634,B
0.097337,0.116250,B
75.000000,0.543900,B
0.060121,0.075148,B
317.000000,1.749100,B
6.000000,0.083824,B
0.122480,0.136480,B
101.000000,0.196260,B
5755.000000,0.528530,B
7589.000000,0.078875,B
638.000000,1.942700,B
84493.000000,0.048128,B
0.074289,0.081407,B
0.164690,0.202590,B
42332.000000,0.544650,B
844.000000,0.077477,B
6.000000,1.907700,B
7.000000,0.048232,B
0.135530,0.133660,B
7.000000,0.171200,B
53608.000000,0.591370,B
41.000000,1.887800,B
0.078811,9.000000,B
0.133380,0.111550,B
5669.000000,0.193000,B
777.000000,0.616570,B
0.073914,0.064936,B
86.000000,1.917200,B
5.000000,0.079934,B
0.138570,0.130540,B
18236.000000,0.215640,B
922.000000,0.511840,B
7.000000,0.067766,B
444.000000,2.149800,B
0.084111,9.000000,B
0.133750,0.077761,B
0.587010,0.533970,B
83412.000000,0.069299,B
0.072900,0.565420,B
162.000000,9.000000,B
0.105620,0.088272,B
436.000000,0.155190,B
16.000000,0.566710,B
56.000000,0.071191,B
1643.000000,1.855300,B
0.047671,0.088408,B
0.133710,0.103410,B
0.404090,0.488290,B
0.300600,2.003200,B
2.000000,0.047343,B
0.129240,0.091856,B
0.144750,0.202610,B
0.359540,0.560350,B
9202.000000,0.047487,B
0.121800,0.096961,B
0.176080,0.163250,B
26.000000,0.537720,B
0.068456,0.073836,B
5.000000,1.882100,B
9.000000,0.047129,B
0.116830,0.092861,B
54.000000,0.144600,B
773.000000,0.069341,B
9.000000,2.034700,B
78.000000,0.047386,B
0.083744,0.068324,B
5315.000000,0.150210,B
929.000000,0.507600,B
0.078489,0.071003,B
5.000000,1.992100,B
21.000000,0.048451,B
0.110680,0.114730,B
2.000000,0.167310,B
74.000000,0.525560,B
84378.000000,0.060759,B
84.000000,1.997200,B
0.080225,0.047604,B
0.127130,0.066653,B
688.000000,0.129160,B
68.000000,0.469420,B
87683.000000,0.061650,B
8.000000,2.012100,B
7503.000000,0.046874,B
0.074440,0.057306,B
526.000000,0.143850,B
0.432280,0.580910,B
1.000000,0.081510,B
33.000000,1.989600,B
0.046790,0.099825,B
0.118670,0.086863,B
0.265330,0.611610,B
1.899000,1.885200,B
0.072790,0.075422,B
8504.000000,0.164550,B
33.000000,0.523080,B
99518.000000,0.075357,B
4.000000,0.046404,B
0.071065,0.080157,B
629.000000,0.153640,B
13.000000,0.635530,B
10043.000000,0.054867,B
98.000000,1.852000,B
0.047275,0.079552,B
0.149250,0.131140,B
5744.000000,0.175550,B
2162.000000,0.422670,B
14.000000,1.947000,B
58484.000000,0.047462,B
0.141100,0.151680,B
903.000000,0.228590,B
763.000000,0.580960,B
93428.000000,0.111400,B
1.686100,1.775300,B
7086.000000,0.072013,B
0.127040,0.117650,B
21873.000000,0.164360,B
354.000000,0.473320,B
0.093836,0.102910,B
297.000000,0.075695,B
0.152410,0.101450,B
8.000000,0.197150,B
491.000000,0.521160,B
93289.000000,0.119880,B
47141.000000,0.074672,B
0.138380,0.115190,B
3717.000000,0.263520,B
31.000000,0.628940,B
99391.000000,0.108530,B
7031.000000,1.654200,B
6807.000000,0.079615,B
0.143350,0.171140,B
39.000000,0.204950,B
0.522070,0.621440,B
71.000000,0.094737,B
457.000000,1.656800,B
0.046029,0.082014,B
0.156220,0.168340,B
6.000000,0.201500,B
49482.000000,0.511490,B
0.102120,0.114290,B
1.640500,1.667200,B
4.000000,0.082578,B
0.142030,0.169560,B
75.000000,0.222930,B
0.448150,0.475810,B
0.065939,0.111380,B
846.000000,1.619100,B
2.000000,0.090581,B
0.110700,0.176260,B
0.182220,0.186940,B
49189.000000,0.529660,B
0.111130,0.090373,B
1.696600,-0.158690,B
0.144480,0.123830,B
0.176950,0.180370,B
49048.000000,0.371980,B
97.000000,1.722200,B
0.047851,0.082856,B
0.135060,0.123890,B
761.000000,0.194580,B
2.000000,0.463650,B
11849.000000,0.065131,B
9.000000,1.875400,B
757.000000,0.049490,B
0.079371,0.081646,B
15791.000000,0.141780,B
69583.000000,0.454910,B
37732.000000,0.112810,B
1.788500,1.867700,B
0.143100,0.172730,B
5.000000,0.224890,B
0.867500,1.798900,B
0.047929,0.082808,B
0.109870,0.089509,B
16828.000000,0.156490,B
838.000000,0.272120,B
10772.000000,0.052986,B
0.053308,0.049113,B
0.141050,0.101420,B
0.195620,0.159160,B
0.487430,0.662870,B
64211.000000,0.099468,B
0.755800,1.958700,B
48922.000000,0.068919,B
0.162970,0.120090,B
36.000000,0.151740,B
4.000000,0.464000,B
283.000000,0.090930,B
9.000000,0.063835,B
0.148620,0.148080,B
0.187790,0.198320,B
0.541480,0.308460,B
0.071792,0.088728,B
1.785900,1.993200,B
0.049471,0.061941,B
0.166570,0.159430,B
999.000000,0.148030,B
8.000000,0.531770,B
68939.000000,0.088056,B
9.000000,1.894000,B
93.000000,0.049697,B
0.145280,0.144750,B
36.000000,0.180970,B
44.000000,0.090177,B
1.824100,1.975400,B
673.000000,0.061393,B
0.170810,0.159010,B
5.000000,0.180440,B
52762.000000,0.601730,B
3.000000,0.071953,B
0.889900,1.865200,B
0.153080,0.160090,B
40078.000000,0.507740,B
74965.000000,0.089827,B
0.772800,2.115300,B
50581.000000,0.062912,B
0.168550,0.158200,B
0.165360,0.149290,B
897.000000,0.441620,B
3.000000,0.079452,B
0.875400,1.791700,B
5.000000,0.050209,B
0.150300,0.154710,B
0.436040,0.416070,B
471.000000,0.083090,B
9739.000000,1.882700,B
5738.000000,0.050368,B
0.091259,0.090471,B
14468.000000,0.164450,B
2.000000,0.235480,B
0.090223,0.082106,B
2.106100,1.990300,B
803.000000,0.068981,B
0.110240,0.156720,B
20275.000000,0.169480,B
0.075219,0.075400,B
1.944500,2.491700,B
50637.000000,0.062822,B
0.081025,0.083936,B
0.482570,0.669200,B
72.000000,0.080031,B
3719.000000,1.947000,B
71559.000000,0.064351,B
0.147020,0.145990,B
666.000000,0.153460,B
7.000000,0.428430,B
4.000000,0.072897,B
44.000000,0.049920,B
0.139980,0.141900,B
0.196670,0.174000,B
428.000000,0.421260,B
1.887500,1.832900,B
0.147650,0.141530,B
45743.000000,0.636300,B
0.078226,0.073212,B
4.000000,1.875200,B
9.000000,0.048783,B
0.092030,0.123560,B
9117.000000,0.169120,B
0.423770,0.347240,B
8325.000000,0.078329,B
0.973900,2.583800,B
64369.000000,9.000000,B
0.139400,0.085361,B
0.175970,0.164520,B
6641.000000,0.299600,B
0.077701,0.077564,B
4.000000,2.102500,B
50111.000000,0.063699,B
0.158810,0.156410,B
13.000000,0.157290,B
0.435650,0.403040,B
72467.000000,0.069299,B
82.000000,2.117500,B
8609.000000,0.065703,B
0.142510,0.158710,B
0.172270,0.196010,B
6494.000000,0.541380,B
616.000000,0.068633,B
36.000000,2.056400,B
8.000000,0.048150,B
0.136330,0.152630,B
55156.000000,0.335610,B
0.061600,2.121100,B
0.141070,0.155520,B
4.000000,0.184040,B
649.000000,0.424010,B
94.000000,0.048974,B
0.150710,0.145270,B
17477.000000,0.145260,B
51628.000000,0.601010,B
18.000000,0.076106,B
33.000000,0.048680,B
0.136030,0.153330,B
9631.000000,0.167070,B
4484.000000,0.479420,B
0.073913,0.076148,B
29.000000,2.214900,B
0.049375,0.076723,B
0.146690,0.149820,B
8.000000,0.149810,B
0.421340,0.341660,B
7.000000,0.068714,B
2.127300,2.797700,B
81.000000,0.071472,B
0.132920,0.149400,B
44507.000000,0.660220,B
0.066431,0.069667,B
0.290100,2.181000,B
48433.000000,0.071443,B
0.143210,0.143440,B
0.159360,0.179080,B
667.000000,0.336260,B
0.061639,0.074818,B
2947.000000,2.206300,B
0.048368,0.073505,B
0.134710,0.148420,B
9381.000000,0.153570,B
88.000000,0.066283,B
57.000000,2.324800,B
0.075133,13.000000,B
0.135230,0.138080,B
0.178230,0.196720,B
0.583000,0.671680,B
59372.000000,0.058188,B
2.063900,2.603500,B
8957.000000,0.075345,B
0.105730,0.143230,B
16589.000000,0.153390,B
45281.000000,0.341050,B
61693.000000,0.064564,B
8765.000000,0.078836,B
0.086438,0.127110,B
48988.000000,0.445330,B
2.000000,0.056219,B
7.000000,2.417900,B
59.000000,0.048994,B
0.112260,0.120030,B
0.180200,0.146960,B
84.000000,0.587080,B
0.055169,0.068884,B
0.091795,0.133480,B
6.000000,0.173590,B
8.000000,0.519020,B
8014.000000,0.054531,B
304.000000,1.760800,B
3444.000000,0.091754,B
0.065887,0.067993,B
363.000000,0.135210,B
48347.000000,0.417020,B
809.000000,0.069325,B
3516.000000,2.378800,B
76977.000000,16.000000,B
0.114260,0.074870,B
6501.000000,0.182710,B
99.000000,0.453250,B
0.061255,0.062036,B
5.000000,2.079400,B
8366.000000,0.092259,B
0.130080,0.127990,B
0.268130,0.673900,B
68.000000,0.066693,B
23.000000,2.108000,B
819.000000,0.048875,B
0.078398,0.114200,B
16221.000000,0.153080,B
96.000000,0.383750,B
0.060743,0.068650,B
132.000000,2.374300,B
0.053632,0.074531,B
0.147010,0.133720,B
0.169770,0.182570,B
46928.000000,0.449860,B
47.000000,0.065452,B
0.361100,2.272200,B
0.048853,0.088533,B
0.083891,0.083762,B
0.512510,0.465170,B
8152.000000,0.062786,B
74.000000,2.336200,B
4.000000,0.047583,B
0.137320,0.112820,B
53197.000000,0.556980,B
67231.000000,0.074602,B
76.000000,2.240300,B
0.047549,0.097057,B
0.085702,0.101410,B
0.147760,0.201310,B
49311.000000,0.319050,B
6.000000,0.064735,B
344.000000,0.050472,B
0.141630,0.125260,B
174.000000,0.221900,B
64207.000000,0.071642,B
2.000000,1.985300,B
0.109470,10.000000,B
0.128320,0.130530,B
6522.000000,0.203610,B
0.518480,0.375860,B
6.000000,0.077992,B
66.000000,2.398100,B
0.135270,0.129320,B
0.157190,0.163490,B
6.000000,0.303320,B
61434.000000,0.072851,B
0.108500,2.373300,B
0.108340,9.000000,B
0.110060,0.091950,B
